"taxon","p_treatment_groupApcMUT_HpWT","q_treatment_groupApcMUT_HpWT","lfc_treatment_groupApcMUT_HpWT"
"Microbacterium sp. nov. GSS16",0.00939318169012494,0.194220164080831,-1.21836920225294
"Microbacterium sp. LKL04",0.00998073149453061,0.194220164080831,-1.47377724580202
"Microbacterium trichothecenolyticum",0.00669232382948105,0.194220164080831,-1.26841342168044
"Microbacterium terricola",0.00630888335086018,0.194220164080831,-1.60193924984255
"Microbacterium lushaniae",0.0065901452370294,0.194220164080831,-1.38260462487583
"Microbacterium caowuchunii",0.00450935291255721,0.194220164080831,-1.45058029764269
"Microbacterium hydrocarbonoxydans",0.00954307263725126,0.194220164080831,-1.10743457645776
"Microbacterium sediminis",0.00138316678255794,0.194220164080831,-1.42490330781111
"Pseudarthrobacter sp. H2",0.00893244182824038,0.194220164080831,0.477778018906238
"Kocuria turfanensis",0.00992645802824731,0.194220164080831,0.698379732307877
