"taxon","p_treatment_groupApcMUT_HpWT","q_treatment_groupApcMUT_HpWT","lfc_treatment_groupApcMUT_HpWT"
"Ovine enzootic nasal tumor virus",0.0333447552172535,0.564628028742701,-0.443783665217965
"Sunrhavirus matariya",0.0343528480609352,0.564628028742701,0.496164309893331
"Phytophthora infestans RNA virus 1",0.120991720444864,0.564628028742701,-0.29021157088091
"Matervirus mater",0.10100952784606,0.564628028742701,0.443876207827165
"Lahndsivirus rarus",0.0808849156051035,0.564628028742701,0.650126259891057
"Pumpernickelvirus pumpernickel",0.0769013750610216,0.564628028742701,0.485510439331765
"Lacusarxvirus lacusarx",0.0847170184203656,0.564628028742701,0.538158641353904
"Menderavirus IMESM1",0.0550236039940621,0.564628028742701,-0.567576369181589
"Cytomegalovirus papiinebeta3",0.0922787604021118,0.564628028742701,-0.335370418308845
"Betabaculovirus plinterpunctellae",0.109836829038542,0.564628028742701,-0.471570598430709
