"taxon","p_treatment_groupApcMUT_HpWT","q_treatment_groupApcMUT_HpWT","lfc_treatment_groupApcMUT_HpWT"
"Alphabaculovirus",0.276508215515955,0.700196788725948,-0.445303271992796
"Betabaculovirus",0.204742519083893,0.700196788725948,-0.430109684784751
"Cytomegalovirus",0.293615058186767,0.700196788725948,-0.33264711368111
"Donellivirus",0.317459271195925,0.700196788725948,-0.225273012853976
"Gemykibivirus",0.3376074162079,0.700196788725948,-0.193878154397192
"Lacusarxvirus",0.103029734749088,0.700196788725948,0.512371951914539
"Lagaffevirus",0.293273870367774,0.700196788725948,0.435428781860205
"Lahndsivirus",0.110142420848228,0.700196788725948,0.624339570451691
"Marfavirus",0.306163343546689,0.700196788725948,0.641301399477597
"Matervirus",0.12113048608488,0.700196788725948,0.447587167954854
