"pathway","lfc","se","W","p_val","q_val","diff"
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)",0.454484360739398,0.109455321009736,4.15223633302371,0.00428310349158445,0.0385051850986206,TRUE
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.596572085848135,0.130565217727789,4.56915016288569,0.00257673383900689,0.0385051850986206,TRUE
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.610129224944185,0.134445337262966,4.53812112316556,0.00267367852582135,0.0385051850986206,TRUE
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis",0.508228866480282,0.117875219604946,4.31158362362838,0.00351626906767076,0.0385051850986206,TRUE
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis",0.474991373700558,0.11249541368238,4.22231767636014,0.00392531142323399,0.0385051850986206,TRUE
"GALLATE-DEGRADATION-I-PWY: gallate degradation II",-1.41034917477986,0.231270999542757,-6.09825346700731,0.00365785207541457,0.0385051850986206,TRUE
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",0.641062235451414,0.126694165305504,5.05991916759218,0.00146348626155189,0.0385051850986206,TRUE
"GLUTORN-PWY: L-ornithine biosynthesis I",0.614176742972405,0.131555175024264,4.66858671929194,0.00229128983919447,0.0385051850986206,TRUE
"GLYCOCAT-PWY: glycogen degradation I",0.535200183070338,0.115578217412389,4.6306319222827,0.00239590097977024,0.0385051850986206,TRUE
"GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)",0.638502759494988,0.13622179101585,4.68722922179678,0.00224176416993679,0.0385051850986206,TRUE
"HISTSYN-PWY: L-histidine biosynthesis",0.617857842784833,0.138983798448227,4.44553861445219,0.0029876709121406,0.0385051850986206,TRUE
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)",0.510864855151883,0.118644613552004,4.30584111539089,0.00354112286165467,0.0385051850986206,TRUE
"LACTOSECAT-PWY: lactose and galactose degradation I",0.677975048055664,0.154664934423771,4.38350845704988,0.00465051253454303,0.0385051850986206,TRUE
"OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)",0.554651320994545,0.118716851509969,4.67205214710371,0.00228199281657527,0.0385051850986206,TRUE
"P161-PWY: acetylene degradation (anaerobic)",0.791185627061954,0.126464635131856,6.25618083851694,0.000421622442925717,0.0385051850986206,TRUE
"P163-PWY: L-lysine fermentation to acetate and butanoate",0.832199790257336,0.17496637126004,4.75634137156848,0.00313817284304395,0.0385051850986206,TRUE
"P441-PWY: superpathway of N-acetylneuraminate degradation",0.628909907499418,0.10273589439464,6.12161806937292,0.000480743433029353,0.0385051850986206,TRUE
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate",0.549252044049861,0.123807788368238,4.43632869376712,0.00302106451392757,0.0385051850986206,TRUE
"PWY-1042: glycolysis IV",0.428005970590127,0.104685762639941,4.08848309260757,0.00463981650691595,0.0385051850986206,TRUE
"PWY-3001: superpathway of L-isoleucine biosynthesis I",0.437730662144624,0.106884525598459,4.09536048079663,0.00459981320186145,0.0385051850986206,TRUE
