"pathway","coef","stderr","pval","qval"
"FAO.PWY..fatty.acid..beta..oxidation.I..generic.",-0.879864778746087,0.309862880124692,0.025061501138549,0.455529638341861
"HCAMHPDEG.PWY..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation.to.2.hydroxypentadienoate",-2.25394662108922,0.732582539856364,0.0178978259135151,0.455529638341861
"HISDEG.PWY..L.histidine.degradation.I",-0.419567187506904,0.141937263419273,0.0212251048100036,0.455529638341861
"PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.",-3.04922258472648,0.74537491665881,0.00462596240589515,0.455529638341861
"PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.",-1.08549162656767,0.332798439722556,0.0138317125066485,0.455529638341861
"PWY.5207..coenzyme.B.coenzyme.M.regeneration.I..methanophenazine.dependent.",1.51725139482358,0.530410004071857,0.0243193051615765,0.455529638341861
"PWY.5845..superpathway.of.menaquinol.9.biosynthesis",-2.36921355999142,0.776028408919153,0.0185049127152079,0.455529638341861
"PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis",-2.4021365035278,0.787627734977082,0.0185874738018634,0.455529638341861
"PWY.6125..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II",-0.447882316286673,0.134286121940129,0.0125001922383863,0.455529638341861
"PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II",-0.426259550667733,0.148103478389266,0.0237152007139994,0.455529638341861
"PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III",-0.452138749501116,0.145928318121767,0.0173621231468177,0.455529638341861
"PWY.6588..pyruvate.fermentation.to.acetone",2.5395892993506,0.755378097189293,0.0120511514279507,0.455529638341861
"PWY.6690..cinnamate.and.3.hydroxycinnamate.degradation.to.2.hydroxypentadienoate",-2.25394662108922,0.732582539856364,0.0178978259135151,0.455529638341861
"PWY.6692..Fe.II..oxidation",-1.52141228046471,0.51779084345653,0.0217665515133834,0.455529638341861
"PWY.6863..pyruvate.fermentation.to.hexanol..engineered.",1.02410004983068,0.348484959706257,0.021752777720788,0.455529638341861
"PWY.6883..pyruvate.fermentation.to.butanol.II..engineered.",1.00242805337175,0.344387850045172,0.0226362330076918,0.455529638341861
"PWY.7094..fatty.acid.salvage",-1.02951588096017,0.304929411386631,0.0118191327649873,0.455529638341861
"PWY.7184..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I",-0.515870158251167,0.128631632779288,0.00512140523892183,0.455529638341861
"PWY.7196..superpathway.of.pyrimidine.ribonucleosides.salvage",-0.346514286325887,0.0943208225484559,0.00792450534072347,0.455529638341861
"PWY.7198..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.IV",-0.51602640146937,0.138057517576198,0.00728410432724116,0.455529638341861
