"Species","KO","Correlation","FDR","Abs_Correlation","Species_short"
"Staphylococcus aureus","K13625",0.983333333333333,0.00290429445561888,0.983333333333333,"Staphylococcus aureus"
"Mediterraneibacter gnavus","K02899",0.966666666666667,0.010775156374179,0.966666666666667,"Mediterraneibacter gnavus"
"Klebsiella pneumoniae","K02992",-0.966666666666667,0.010775156374179,0.966666666666667,"Klebsiella pneumoniae"
"Staphylococcus aureus","K00134",0.95,0.0131437859476294,0.95,"Staphylococcus aureus"
"[Clostridium] scindens","K02884",-0.95,0.0131437859476294,0.95,"[Clostridium] scindens"
"Flavonifractor plautii","K02994",0.95,0.0131437859476294,0.95,"Flavonifractor plautii"
"Halomonas sp. N3-2A","K13625",0.95,0.0131437859476294,0.95,"Halomonas sp. N3-2A"
"Mus musculus mobilized endogenous polytropic provirus","K13625",0.95,0.0131437859476294,0.95,"Mus musculus mobilized endogenous polytropic provirus"
"Exiguobacterium sp. N4-1P","K13625",0.95,0.0131437859476294,0.95,"Exiguobacterium sp. N4-1P"
"Staphylococcus aureus","K10704",0.95,0.0131437859476294,0.95,"Staphylococcus aureus"
"Halomonas sp. N3-2A","K00134",0.933333333333333,0.0168499865828154,0.933333333333333,"Halomonas sp. N3-2A"
"Mus musculus mobilized endogenous polytropic provirus","K00134",0.933333333333333,0.0168499865828154,0.933333333333333,"Mus musculus mobilized endogenous polytropic provirus"
"Exiguobacterium sp. N4-1P","K00134",0.933333333333333,0.0168499865828154,0.933333333333333,"Exiguobacterium sp. N4-1P"
"Klebsiella pneumoniae","K10523",0.933333333333333,0.0168499865828154,0.933333333333333,"Klebsiella pneumoniae"
"Staphylococcus aureus","K10523",0.933333333333333,0.0168499865828154,0.933333333333333,"Staphylococcus aureus"
"Klebsiella pneumoniae","K13625",0.933333333333333,0.0168499865828154,0.933333333333333,"Klebsiella pneumoniae"
"Faecalibaculum rodentium","K07484",0.933333333333333,0.0168499865828154,0.933333333333333,"Faecalibaculum rodentium"
"Staphylococcus aureus","K11253",0.933333333333333,0.0168499865828154,0.933333333333333,"Staphylococcus aureus"
"Halomonas sp. N3-2A","K10704",0.933333333333333,0.0168499865828154,0.933333333333333,"Halomonas sp. N3-2A"
"Mus musculus mobilized endogenous polytropic provirus","K10704",0.933333333333333,0.0168499865828154,0.933333333333333,"Mus musculus mobilized endogenous polytropic provirus"
"Exiguobacterium sp. N4-1P","K10704",0.933333333333333,0.0168499865828154,0.933333333333333,"Exiguobacterium sp. N4-1P"
"Klebsiella pneumoniae","K00134",0.916666666666667,0.0253309533152604,0.916666666666667,"Klebsiella pneumoniae"
"Halomonas sp. N3-2A","K02004",-0.916666666666667,0.0253309533152604,0.916666666666667,"Halomonas sp. N3-2A"
"Mus musculus mobilized endogenous polytropic provirus","K02004",-0.916666666666667,0.0253309533152604,0.916666666666667,"Mus musculus mobilized endogenous polytropic provirus"
"Exiguobacterium sp. N4-1P","K02004",-0.916666666666667,0.0253309533152604,0.916666666666667,"Exiguobacterium sp. N4-1P"
"Halomonas sp. N3-2A","K10523",0.916666666666667,0.0253309533152604,0.916666666666667,"Halomonas sp. N3-2A"
