feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
K00006	treatment_group	ApcMUT_HpWT	-0.61949955658457	0.496763940591699	9	9	0.252477235040393	0.660316134498869
K00008	treatment_group	ApcMUT_HpWT	-0.36568665909378	0.204589228237462	9	9	0.117018653574303	0.660316134498869
K00018	treatment_group	ApcMUT_HpWT	1.17119668460062	0.784242911791215	9	6	0.17896960747272	0.660316134498869
K00019	treatment_group	ApcMUT_HpWT	-1.01788721719541	0.4582083044086	9	9	0.0617449165406355	0.660316134498869
K00020	treatment_group	ApcMUT_HpWT	-0.475861425132915	0.342248887316904	9	9	0.207012485289645	0.660316134498869
K00022	treatment_group	ApcMUT_HpWT	-1.15878997464144	0.624762958787557	9	5	0.106022707597624	0.660316134498869
K00024	treatment_group	ApcMUT_HpWT	-0.620785424962354	0.275187232200528	9	9	0.05868815210587	0.660316134498869
K00027	treatment_group	ApcMUT_HpWT	0.983793730100718	0.366625381795445	9	8	0.0313853890110486	0.660316134498869
K00029	treatment_group	ApcMUT_HpWT	-0.858059008682607	0.451434971602308	9	9	0.0990986054890831	0.660316134498869
K00033	treatment_group	ApcMUT_HpWT	-1.47146720988764	0.724043557417577	9	9	0.0816363284627682	0.660316134498869
K00036	treatment_group	ApcMUT_HpWT	-0.520745619384021	0.205858873133453	9	9	0.0392544864162668	0.660316134498869
K00046	treatment_group	ApcMUT_HpWT	0.347933973793143	0.221665234593177	9	9	0.160490004117741	0.660316134498869
K00053	treatment_group	ApcMUT_HpWT	-0.392965529539267	0.273465605590786	9	9	0.193875318468925	0.660316134498869
K00057	treatment_group	ApcMUT_HpWT	-0.697893249782673	0.508409186334789	9	9	0.212206456319092	0.660316134498869
K00058	treatment_group	ApcMUT_HpWT	-0.297509695453305	0.209122957384253	9	9	0.19783424083843	0.660316134498869
K00060	treatment_group	ApcMUT_HpWT	0.964283679731006	0.492249151477601	9	3	0.090962428603865	0.660316134498869
K00074	treatment_group	ApcMUT_HpWT	1.01988974054107	0.832179268457068	9	8	0.259992412760428	0.660316134498869
K00077	treatment_group	ApcMUT_HpWT	0.488771693534404	0.397576430531538	9	9	0.258646248745728	0.660316134498869
K00078	treatment_group	ApcMUT_HpWT	-0.701409378425874	0.313780292228914	9	9	0.0604912948261115	0.660316134498869
K00079	treatment_group	ApcMUT_HpWT	-0.764227112998168	0.335471445340646	9	9	0.0567977261990005	0.660316134498869
K00097	treatment_group	ApcMUT_HpWT	-0.833483829915672	0.594281729014353	9	9	0.203523268492121	0.660316134498869
K00108	treatment_group	ApcMUT_HpWT	-0.871259383049544	0.368116297918016	9	9	0.0498398950875669	0.660316134498869
K00109	treatment_group	ApcMUT_HpWT	0.443763620036422	0.310621281592362	9	2	0.196173873312454	0.660316134498869
K00113	treatment_group	ApcMUT_HpWT	-0.827867856602004	0.481166399997322	9	2	0.129014739447788	0.660316134498869
K00121	treatment_group	ApcMUT_HpWT	-1.25786797792999	0.873672107093816	9	6	0.193119622581314	0.660316134498869
K00129	treatment_group	ApcMUT_HpWT	-0.49558937145926	0.304855579056043	9	9	0.148050556802054	0.660316134498869
K00135	treatment_group	ApcMUT_HpWT	-1.1445703665771	0.741982848297454	9	2	0.166838083329849	0.660316134498869
K00157	treatment_group	ApcMUT_HpWT	1.08249852993355	0.559945369973832	9	3	0.0944731913474765	0.660316134498869
K00161	treatment_group	ApcMUT_HpWT	-1.09907790135473	0.430436186338532	9	9	0.0379147168872047	0.660316134498869
K00162	treatment_group	ApcMUT_HpWT	-1.17767161051068	0.519544662175037	9	9	0.0577546329947128	0.660316134498869
K00163	treatment_group	ApcMUT_HpWT	-1.4958068088331	0.623065114318684	9	3	0.0474157533020862	0.660316134498869
K00166	treatment_group	ApcMUT_HpWT	-1.35219140177721	0.564443599600359	9	7	0.0477727361793743	0.660316134498869
K00167	treatment_group	ApcMUT_HpWT	-2.03394985783445	0.814000636789949	9	7	0.0410697922875664	0.660316134498869
K00179	treatment_group	ApcMUT_HpWT	-0.403362125002233	0.231448180118886	9	9	0.124902406377289	0.660316134498869
K00183	treatment_group	ApcMUT_HpWT	-0.734707994024259	0.529513302994519	9	3	0.207850097795341	0.660316134498869
K00208	treatment_group	ApcMUT_HpWT	0.523875150667712	0.292391018264635	9	9	0.116289263030399	0.660316134498869
K00214	treatment_group	ApcMUT_HpWT	-0.830767820777348	0.596874877833767	9	7	0.206587071500519	0.660316134498869
K00215	treatment_group	ApcMUT_HpWT	1.50731190598556	0.915716083743191	9	8	0.143749177108047	0.660316134498869
K00242	treatment_group	ApcMUT_HpWT	-1.06283552963528	0.67334311501965	9	2	0.15847169914261	0.660316134498869
K00249	treatment_group	ApcMUT_HpWT	-1.14380658140284	0.355101471960391	9	9	0.0146316925102794	0.660316134498869
K00259	treatment_group	ApcMUT_HpWT	-1.03918521088647	0.733513258386764	9	9	0.199494049705744	0.660316134498869
K00261	treatment_group	ApcMUT_HpWT	-0.630767591543592	0.40632856455342	9	9	0.1645181592251	0.660316134498869
K00266	treatment_group	ApcMUT_HpWT	0.519949382459975	0.293264867742216	9	9	0.119516875031791	0.660316134498869
K00275	treatment_group	ApcMUT_HpWT	0.985050370249874	0.726410629465086	9	5	0.217197746868406	0.660316134498869
K00276	treatment_group	ApcMUT_HpWT	-1.16656375805723	0.472558825968844	9	3	0.0429202686421649	0.660316134498869
K00278	treatment_group	ApcMUT_HpWT	-0.565926740135665	0.325089265999184	9	9	0.125256275775697	0.660316134498869
K00289	treatment_group	ApcMUT_HpWT	1.17936450653272	0.66267762657243	9	3	0.118347578498063	0.660316134498869
K00290	treatment_group	ApcMUT_HpWT	0.325126732536	0.249998791832404	9	9	0.234601509377889	0.660316134498869
K00299	treatment_group	ApcMUT_HpWT	-1.24461731602087	0.496601914430529	9	3	0.0406180545381999	0.660316134498869
K00308	treatment_group	ApcMUT_HpWT	-0.561265181845189	0.346095490204033	9	9	0.148896755132068	0.660316134498869
K00315	treatment_group	ApcMUT_HpWT	-0.759578767840771	0.306817218594519	9	9	0.0424785467440862	0.660316134498869
K00323	treatment_group	ApcMUT_HpWT	0.918868531925378	0.616444050286299	9	7	0.17968798060268	0.660316134498869
K00324	treatment_group	ApcMUT_HpWT	-0.946968143895049	0.632964178480625	9	3	0.178289668194028	0.660316134498869
K00337	treatment_group	ApcMUT_HpWT	-0.598205573323438	0.237379021146652	9	9	0.0398079791783062	0.660316134498869
K00350	treatment_group	ApcMUT_HpWT	-0.808078673464157	0.432660238765967	9	9	0.104028934285941	0.660316134498869
K00351	treatment_group	ApcMUT_HpWT	0.676468371559852	0.472347301420508	9	9	0.195204934526573	0.660316134498869
K00366	treatment_group	ApcMUT_HpWT	0.434816412270213	0.303530171764546	9	2	0.195097750767275	0.660316134498869
K00371	treatment_group	ApcMUT_HpWT	0.660762172452133	0.514924413434821	9	2	0.240261960598152	0.660316134498869
K00375	treatment_group	ApcMUT_HpWT	0.437109633264308	0.305331233193148	9	2	0.195356582441923	0.660316134498869
