"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"PF09907","treatment_group","ApcMUT_HpWT",-2.85265992665086,0.304724370550638,3.29963061881577e-05,"treatment_groupApcMUT_HpWT",0.215927827695304,9,5
"PF05860","treatment_group","ApcMUT_HpWT",2.95773348593489,0.41002916333245,0.000175392090658909,"treatment_groupApcMUT_HpWT",0.298174449229901,9,6
"PF09106","treatment_group","ApcMUT_HpWT",1.75400625502711,0.250298799760876,0.000210122354918089,"treatment_groupApcMUT_HpWT",0.298174449229901,9,5
"PF09107","treatment_group","ApcMUT_HpWT",1.75400625502711,0.250298799760876,0.000210122354918089,"treatment_groupApcMUT_HpWT",0.298174449229901,9,5
"PF11213","treatment_group","ApcMUT_HpWT",1.70800098805081,0.251802116356058,0.000257127172320098,"treatment_groupApcMUT_HpWT",0.298174449229901,9,5
"PF14276","treatment_group","ApcMUT_HpWT",1.54637951409595,0.230252472231238,0.000273387331201009,"treatment_groupApcMUT_HpWT",0.298174449229901,9,5
"PF03595","treatment_group","ApcMUT_HpWT",3.22909283940094,0.523580486208656,0.000459677064088374,"treatment_groupApcMUT_HpWT",0.360597667330153,9,7
"PF17830","treatment_group","ApcMUT_HpWT",1.69387139796304,0.280103311071397,0.000517338224840564,"treatment_groupApcMUT_HpWT",0.360597667330153,9,5
"PF09560","treatment_group","ApcMUT_HpWT",1.90689362285892,0.326950963976179,0.000642013003343062,"treatment_groupApcMUT_HpWT",0.360597667330153,9,5
"PF16258","treatment_group","ApcMUT_HpWT",2.89464676769643,0.497181176837178,0.000648738901527105,"treatment_groupApcMUT_HpWT",0.360597667330153,9,8
"PF14620","treatment_group","ApcMUT_HpWT",2.10411175603345,0.364671463031352,0.000684307027677442,"treatment_groupApcMUT_HpWT",0.360597667330153,9,5
"PF13884","treatment_group","ApcMUT_HpWT",2.50894943779647,0.446398640270259,0.000798719210125519,"treatment_groupApcMUT_HpWT",0.360597667330153,9,6
"PF09254","treatment_group","ApcMUT_HpWT",1.46180001152992,0.260304585206777,0.00080264380352672,"treatment_groupApcMUT_HpWT",0.360597667330153,9,9
"PF04367","treatment_group","ApcMUT_HpWT",2.71064823878345,0.486355335398528,0.000839027139058239,"treatment_groupApcMUT_HpWT",0.360597667330153,9,6
"PF09951","treatment_group","ApcMUT_HpWT",1.87231285525172,0.336733717853601,0.00085071957914992,"treatment_groupApcMUT_HpWT",0.360597667330153,9,8
"PF15781","treatment_group","ApcMUT_HpWT",2.3792495713972,0.430530856650009,0.000881656888337782,"treatment_groupApcMUT_HpWT",0.360597667330153,9,6
"PF08523","treatment_group","ApcMUT_HpWT",-1.63512408514675,0.300236496869181,0.000959958961667687,"treatment_groupApcMUT_HpWT",0.366706712282453,9,5
"PF17032","treatment_group","ApcMUT_HpWT",2.6657220008879,0.493667774485367,0.00100866760713389,"treatment_groupApcMUT_HpWT",0.366706712282453,9,6
"PF17209","treatment_group","ApcMUT_HpWT",2.34129418997725,0.450233298869301,0.0012527620705053,"treatment_groupApcMUT_HpWT",0.37751882543238,9,8
"PF08343","treatment_group","ApcMUT_HpWT",-3.65136172056741,0.71668224108353,0.00140760875199995,"treatment_groupApcMUT_HpWT",0.37751882543238,9,6
"PF03306","treatment_group","ApcMUT_HpWT",-2.67102200343984,0.532331944032466,0.00153460817318832,"treatment_groupApcMUT_HpWT",0.37751882543238,9,9
"PF12561","treatment_group","ApcMUT_HpWT",2.2865982853647,0.457940489942255,0.00157727987192386,"treatment_groupApcMUT_HpWT",0.37751882543238,9,6
"PF14522","treatment_group","ApcMUT_HpWT",4.47044579605978,0.91093891138938,0.00173817314042724,"treatment_groupApcMUT_HpWT",0.37751882543238,9,7
"PF02049","treatment_group","ApcMUT_HpWT",0.84408110384571,0.173593642349219,0.00183012197720741,"treatment_groupApcMUT_HpWT",0.37751882543238,9,9
"PF14168","treatment_group","ApcMUT_HpWT",3.29727755608263,0.678163663341663,0.00183081162941789,"treatment_groupApcMUT_HpWT",0.37751882543238,9,8
"PF03869","treatment_group","ApcMUT_HpWT",1.72191913841296,0.356629572698013,0.00190315855559603,"treatment_groupApcMUT_HpWT",0.37751882543238,9,9
"PF06153","treatment_group","ApcMUT_HpWT",2.70377257236251,0.563625179138555,0.00197285841890738,"treatment_groupApcMUT_HpWT",0.37751882543238,9,9
"PF13557","treatment_group","ApcMUT_HpWT",-2.47280394939383,0.523348600605022,0.00214509685045858,"treatment_groupApcMUT_HpWT",0.37751882543238,9,9
