feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PF09907	treatment_group	ApcMUT_HpWT	-2.85265992665086	0.304724370550638	9	5	3.29963061881577e-05	0.215927827695304
PF05860	treatment_group	ApcMUT_HpWT	2.95773348593489	0.41002916333245	9	6	0.000175392090658909	0.298174449229901
PF09106	treatment_group	ApcMUT_HpWT	1.75400625502711	0.250298799760876	9	5	0.000210122354918089	0.298174449229901
PF09107	treatment_group	ApcMUT_HpWT	1.75400625502711	0.250298799760876	9	5	0.000210122354918089	0.298174449229901
PF11213	treatment_group	ApcMUT_HpWT	1.70800098805081	0.251802116356058	9	5	0.000257127172320098	0.298174449229901
PF14276	treatment_group	ApcMUT_HpWT	1.54637951409595	0.230252472231238	9	5	0.000273387331201009	0.298174449229901
PF03595	treatment_group	ApcMUT_HpWT	3.22909283940094	0.523580486208656	9	7	0.000459677064088374	0.360597667330153
PF04367	treatment_group	ApcMUT_HpWT	2.71064823878345	0.486355335398528	9	6	0.000839027139058239	0.360597667330153
PF09254	treatment_group	ApcMUT_HpWT	1.46180001152992	0.260304585206777	9	9	0.00080264380352672	0.360597667330153
PF09560	treatment_group	ApcMUT_HpWT	1.90689362285892	0.326950963976179	9	5	0.000642013003343062	0.360597667330153
PF09951	treatment_group	ApcMUT_HpWT	1.87231285525172	0.336733717853601	9	8	0.00085071957914992	0.360597667330153
PF13884	treatment_group	ApcMUT_HpWT	2.50894943779647	0.446398640270259	9	6	0.000798719210125519	0.360597667330153
PF14620	treatment_group	ApcMUT_HpWT	2.10411175603345	0.364671463031352	9	5	0.000684307027677442	0.360597667330153
PF15781	treatment_group	ApcMUT_HpWT	2.3792495713972	0.430530856650009	9	6	0.000881656888337782	0.360597667330153
PF16258	treatment_group	ApcMUT_HpWT	2.89464676769643	0.497181176837178	9	8	0.000648738901527105	0.360597667330153
PF17830	treatment_group	ApcMUT_HpWT	1.69387139796304	0.280103311071397	9	5	0.000517338224840564	0.360597667330153
PF08523	treatment_group	ApcMUT_HpWT	-1.63512408514675	0.300236496869181	9	5	0.000959958961667687	0.366706712282453
PF17032	treatment_group	ApcMUT_HpWT	2.6657220008879	0.493667774485367	9	6	0.00100866760713389	0.366706712282453
PF00011	treatment_group	ApcMUT_HpWT	0.557576917227288	0.183743034855016	9	9	0.0189923794207325	0.37751882543238
PF00023	treatment_group	ApcMUT_HpWT	1.26144301056431	0.312117512928238	9	9	0.00492310292791572	0.37751882543238
PF00024	treatment_group	ApcMUT_HpWT	2.77095029630399	1.09899165800783	9	9	0.0397316476557933	0.37751882543238
PF00034	treatment_group	ApcMUT_HpWT	2.37703474665646	0.884630724827055	9	8	0.0312194441779933	0.37751882543238
