"taxon","lfc_(Intercept)","lfc_treatment_groupApcMUT_HpWT","se_(Intercept)","se_treatment_groupApcMUT_HpWT","W_(Intercept)","W_treatment_groupApcMUT_HpWT","p_(Intercept)","p_treatment_groupApcMUT_HpWT","q_(Intercept)","q_treatment_groupApcMUT_HpWT","diff_(Intercept)","diff_treatment_groupApcMUT_HpWT","passed_ss_(Intercept)","passed_ss_treatment_groupApcMUT_HpWT","diff_robust_(Intercept)","diff_robust_treatment_groupApcMUT_HpWT","Root","Domain","Phylum","Class","Order","Family","Genus","Species","prevalence"
"OTU_1",-0.0869793017049235,0.252913709696499,0.0736762151743168,0.281250914742131,-1.18056148105779,0.899245820865639,0.276332701116099,0.398398400962175,0.543800582009185,0.757635747007871,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Archaea",NA,NA,NA,NA,NA,NA,1
"OTU_354",1.03623589710106,-1.77929452833744,0.35803022052581,0.445737841551353,2.89426935966249,-3.9917959896444,0.04437230450376,0.0162406111737327,0.174075963822443,0.226566993278378,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Microbacteriaceae","Microbacterium","Microbacterium sp001619615",0.285714285714286
"OTU_88",0.298970062396323,-0.263256925863765,0.387324992758758,0.538839450720138,0.771884252206089,-0.488562827966536,0.496411623293967,0.658636878416794,0.755899998271779,0.890321789659585,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Microbacteriaceae","Microbacterium",NA,0.357142857142857
"OTU_319",0.395955294256145,-0.471203939767603,0.157473758760416,0.315165826017891,2.51442079856975,-1.49509845569632,0.065746593896239,0.209208152045826,0.212317003245318,0.640176945260227,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Adlercreutzia",NA,0.678571428571429
"OTU_87",0.659281840065621,-0.949252779101103,0.053413379934307,0.260372373320931,12.343009202497,-3.6457507645447,0.000247569898729426,0.0218533092304136,0.00541117064365746,0.226566993278378,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Root","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","MGBC163016",NA,0.892857142857143
"OTU_34",0.0485946499441202,0.00888059672822064,0.142992453429458,0.279251801152201,0.339840661368141,0.0318013946251341,0.74394568382677,0.975518185806722,0.917468923465565,0.989338961978145,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Eggerthellaceae",NA,NA,1
"OTU_18",-0.493319817302082,1.15446241521475,0.226664083432843,0.344578389488479,-2.17643576269659,3.35036221200213,0.072416342893528,0.0154124548651777,0.221594009254196,0.226566993278378,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales",NA,NA,NA,0.857142857142857
"OTU_6",0.682003162947354,-1.1312547266776,0.11317144587279,0.412998681749418,6.02628302296283,-2.73912430394626,0.000528251971572235,0.0289547483309724,0.00673521263754599,0.260592734978752,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Root","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,1
"OTU_31",0.200532836918193,-0.555070724728137,0.0558205714702168,0.252562330593057,3.59245402969741,-2.19775737507942,0.0229116373814961,0.0928846463389494,0.100156586267683,0.430646996662402,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae",NA,NA,0.785714285714286
"OTU_524",0.234705461062506,-0.34525992530462,0.255653631705675,0.360242362934549,0.918060343976314,-0.958410117266939,0.410535300535246,0.392129817252844,0.668211712573326,0.757635747007871,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus murinus",0.535714285714286
"OTU_8",0.0629649407603634,-0.0169859267410165,0.166295824391409,0.29003786538412,0.378632121346376,-0.0585645143902873,0.716183251800818,0.954935763141965,0.917468923465565,0.989338961978145,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Bacilli",NA,NA,NA,NA,0.964285714285714
"OTU_244",-0.642044340516781,0.872705203405563,0.126512038219371,0.483546983202549,-5.07496637911627,1.80479918957534,0.00710568733497685,0.145424168643929,0.0494168255568845,0.51171687786928,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Bacilli","RF39","UBA660","CAOJBM01","CAOJBM01 sp948329525",0.535714285714286
"OTU_30",-0.263210348628011,0.570129594158058,0.0598060935516126,0.269675503524679,-4.40106238339845,2.11413193525708,0.00315278804666025,0.0723456705402815,0.0283750924199422,0.381685779057347,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Bacilli","RF39","UBA660",NA,NA,1
"OTU_27",-0.265692571584442,0.405234076936523,0.225718194539626,0.450869995484314,-1.17709860353237,0.898782533757275,0.283731206233553,0.403393840748269,0.549504741186501,0.757635747007871,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Christensenellales","Borkfalkiaceae",NA,NA,0.928571428571429
"OTU_15",0.838533374169941,-1.57853373462579,0.254540910099319,0.774343388325716,3.29429706935029,-2.03854486061913,0.0165249725084726,0.0876207751944334,0.0815587352837521,0.418936831398385,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Christensenellales",NA,NA,NA,0.964285714285714
"OTU_225",-0.427892716691281,0.544285313128472,0.0893088609300716,0.446005671352449,-4.79115635598935,1.22035513915777,0.00492189503746151,0.276740451848326,0.0396342074069269,0.708113103941442,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Christensenellales","Pumilibacteraceae","MGBC157735","MGBC157735 sp910588155",0.857142857142857
"OTU_26",0.0770367665800406,-0.181562583083758,0.212801460962777,0.399615643788706,0.362012395175782,-0.454343031625052,0.732139467600053,0.668625392390539,0.917468923465565,0.890321789659585,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Christensenellales","Pumilibacteraceae",NA,NA,0.821428571428571
