"taxon","lfc_(Intercept)","lfc_treatment_groupApcMUT_HpWT","se_(Intercept)","se_treatment_groupApcMUT_HpWT","W_(Intercept)","W_treatment_groupApcMUT_HpWT","p_(Intercept)","p_treatment_groupApcMUT_HpWT","q_(Intercept)","q_treatment_groupApcMUT_HpWT","diff_(Intercept)","diff_treatment_groupApcMUT_HpWT","passed_ss_(Intercept)","passed_ss_treatment_groupApcMUT_HpWT","diff_robust_(Intercept)","diff_robust_treatment_groupApcMUT_HpWT","Root","Domain","Phylum","Class","Order","Family","Genus","Species","prevalence"
"OTU_233",-1.65466287674671,2.75135993492326,0.0323232310756878,0.258826770423781,-51.1911347251198,10.6301211826675,1.64168631969106e-05,0.00177905900878782,0.000837260023042443,0.193379344491804,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Christensenellales","UBA3700","RACS-045","RACS-045 sp910579785",0.642857142857143
"OTU_198",-0.843968797120573,1.43019715339232,0.0657682291567415,0.285665652875355,-12.8324695364565,5.00654222513882,5.11567379878374e-05,0.00408179589905484,0.00195674522803478,0.193379344491804,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium_J","Eubacterium_J sp009774535",0.714285714285714
"OTU_115",-0.893256079827671,1.25531298008916,0.0294743893496085,0.25944893613236,-30.3061776524824,4.83838168235446,7.06123764916149e-06,0.0084099488720684,0.000540184680160854,0.193379344491804,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","Enterenecus","Enterenecus sp910587255",0.714285714285714
"OTU_100",-0.735091468535805,1.32756076412804,0.114399168500401,0.296200117331942,-6.42567142901246,4.48197244513674,0.00135562230660802,0.00650684200092132,0.0148150152079305,0.193379344491804,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","Pelethomonas","Pelethomonas sp910578505",0.678571428571429
"OTU_285",-0.848082787131206,1.33705842181134,0.146020272533721,0.35079013561592,-5.80797975798431,3.8115622021803,0.00114323707617189,0.00884742098982111,0.0134550209734076,0.193379344491804,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes sp910575495",0.964285714285714
"OTU_544",-1.10243093271056,2.49803913128579,0.437888449490512,0.516241238490867,-2.5176067877407,4.83889884230933,0.0655236627113982,0.00840679410777989,0.212317003245318,0.193379344491804,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium",NA,0.25
"OTU_297",-1.32485992993225,2.09990185029302,0.298019602620014,0.453389545333061,-4.44554626032939,4.63156213439026,0.0043498732835578,0.00357185461802816,0.0369739229102413,0.193379344491804,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Root","Bacteria","Chrysiogenota","Deferribacteres","Deferribacterales","Mucispirillaceae","Mucispirillum","Mucispirillum schaedleri",0.964285714285714
"OTU_354",1.03623589710106,-1.77929452833744,0.35803022052581,0.445737841551353,2.89426935966249,-3.9917959896444,0.04437230450376,0.0162406111737327,0.174075963822443,0.226566993278378,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Microbacteriaceae","Microbacterium","Microbacterium sp001619615",0.285714285714286
"OTU_87",0.659281840065621,-0.949252779101103,0.053413379934307,0.260372373320931,12.343009202497,-3.6457507645447,0.000247569898729426,0.0218533092304136,0.00541117064365746,0.226566993278378,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Root","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","MGBC163016",NA,0.892857142857143
"OTU_18",-0.493319817302082,1.15446241521475,0.226664083432843,0.344578389488479,-2.17643576269659,3.35036221200213,0.072416342893528,0.0154124548651777,0.221594009254196,0.226566993278378,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales",NA,NA,NA,0.857142857142857
