"taxon","lfc_(Intercept)","lfc_treatment_groupApcMUT_HpWT","se_(Intercept)","se_treatment_groupApcMUT_HpWT","W_(Intercept)","W_treatment_groupApcMUT_HpWT","p_(Intercept)","p_treatment_groupApcMUT_HpWT","q_(Intercept)","q_treatment_groupApcMUT_HpWT","diff_(Intercept)","diff_treatment_groupApcMUT_HpWT","passed_ss_(Intercept)","passed_ss_treatment_groupApcMUT_HpWT","diff_robust_(Intercept)","diff_robust_treatment_groupApcMUT_HpWT","Root","Domain","Phylum","Class","Order","Family","Genus","Species","prevalence"
"OTU_613",0.295535633595237,-0.191238546090752,0.328765999944003,0.668103447347022,0.898923956995475,-0.286240920998301,0.398558470088259,0.782979659126474,0.609673362051525,0.904709958746046,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Viruses","Uroviricota","Caudoviricetes","novel_order_123_of_Caudoviricetes","novel_family_0_of_novel_order_123_of_Caudoviricetes",NA,NA,0.892857142857143
"OTU_385",-0.371692695899085,0.779823247074883,0.168342430355485,0.368061424049035,-2.20795609944676,2.11873126636328,0.0693381740721716,0.0784207975938785,0.239097151973006,0.33641971605522,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Viruses","Uroviricota","Caudoviricetes","novel_order_123_of_Caudoviricetes","novel_family_0_of_novel_order_123_of_Caudoviricetes","novel_genus_0_of_novel_subfamily_0_of_novel_family_0_of_novel_order_123_of_Caudoviricetes",NA,0.964285714285714
"OTU_537",-0.0554923178058901,0.438868809790187,0.220801186210428,0.408884743672309,-0.251322552918737,1.07333133989932,0.817796486012213,0.36177744783316,0.915443827625611,0.653775014020619,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Viruses","Uroviricota","Caudoviricetes","novel_order_123_of_Caudoviricetes","novel_family_0_of_novel_order_123_of_Caudoviricetes","novel_genus_1_of_novel_subfamily_0_of_novel_family_0_of_novel_order_123_of_Caudoviricetes","IMGVR_UViG_2896054739_000007",0.607142857142857
"OTU_386",-0.484922336910883,1.35792994871993,0.237371573379064,0.328966063809382,-2.04288293668804,4.12787244068669,0.110580686047603,0.0145190248674058,0.322079668099815,0.309736003756416,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Viruses","Uroviricota","Caudoviricetes","novel_order_123_of_Caudoviricetes","novel_family_0_of_novel_order_123_of_Caudoviricetes","novel_genus_1_of_novel_subfamily_0_of_novel_family_0_of_novel_order_123_of_Caudoviricetes",NA,0.75
"OTU_89",-0.305816615291265,0.693399839334874,0.123052508327487,0.270028838226927,-2.48525299847913,2.56787328304599,0.0554827527567472,0.0501646390817954,0.203884621450697,0.317739058559753,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Viruses","Uroviricota","Caudoviricetes","novel_order_123_of_Caudoviricetes","novel_family_24_of_novel_order_123_of_Caudoviricetes",NA,NA,0.928571428571429
"OTU_383",-0.168153573219007,0.351963780657144,0.130519559846352,0.26708809180773,-1.28834002671291,1.31778162880625,0.267099305284103,0.257981554794946,0.508003699885513,0.552817617417742,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Viruses","Uroviricota","Caudoviricetes","novel_order_123_of_Caudoviricetes","novel_family_24_of_novel_order_123_of_Caudoviricetes","novel_genus_2_of_novel_subfamily_1_of_novel_family_24_of_novel_order_123_of_Caudoviricetes",NA,0.678571428571429
"OTU_387",-0.696012810183336,1.29873542992968,0.132055235552087,0.282804305295971,-5.27061882305154,4.59234674157624,0.00188209656359627,0.00372184026944136,0.0408424126702538,0.242284524386753,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Root","Viruses","Uroviricota","Caudoviricetes","novel_order_123_of_Caudoviricetes","novel_family_25_of_novel_order_123_of_Caudoviricetes","novel_genus_0_of_novel_subfamily_1_of_novel_family_25_of_novel_order_123_of_Caudoviricetes",NA,0.964285714285714
"OTU_390",-0.216856476775389,0.537719596932089,0.225606343011836,0.341525425202907,-0.961216222382592,1.57446432169031,0.38058927948387,0.176195611992873,0.605472912931122,0.444393493780213,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Viruses","Uroviricota","Caudoviricetes","novel_order_123_of_Caudoviricetes","novel_family_25_of_novel_order_123_of_Caudoviricetes","novel_genus_1_of_novel_subfamily_1_of_novel_family_25_of_novel_order_123_of_Caudoviricetes",NA,0.892857142857143
"OTU_540",-0.0285208573075152,0.178254260469648,0.114946966809436,0.390067943995041,-0.248121878281471,0.456982592940049,0.813908245618975,0.666851670557143,0.914503646762894,0.851300004966566,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Viruses","Uroviricota","Caudoviricetes","novel_order_123_of_Caudoviricetes","novel_family_25_of_novel_order_123_of_Caudoviricetes","novel_genus_5_of_novel_subfamily_0_of_novel_family_25_of_novel_order_123_of_Caudoviricetes","IMGVR_UViG_3300006141_000003",0.714285714285714
"OTU_389",-0.35722077292361,0.756668170314122,0.158133175881468,0.279287373552021,-2.25898690096108,2.70928170038873,0.0646380413109352,0.0351396075728654,0.225917440598978,0.310055360937048,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Viruses","Uroviricota","Caudoviricetes","novel_order_123_of_Caudoviricetes","novel_family_25_of_novel_order_123_of_Caudoviricetes","novel_genus_5_of_novel_subfamily_0_of_novel_family_25_of_novel_order_123_of_Caudoviricetes",NA,0.928571428571429
"OTU_539",-0.627909984247397,1.08156016468966,0.0727107701056951,0.378843563977709,-8.63572182407976,2.85489913919535,0.000988774390857617,0.0461666621125878,0.0269665742961168,0.317739058559753,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Root","Viruses","Uroviricota","Caudoviricetes","novel_order_123_of_Caudoviricetes","novel_family_25_of_novel_order_123_of_Caudoviricetes","novel_genus_6_of_novel_subfamily_0_of_novel_family_25_of_novel_order_123_of_Caudoviricetes","IMGVR_UViG_3300006143_000275",0.678571428571429
"OTU_388",-0.937472188966982,1.54590347176904,0.45070925614113,0.531176372976707,-2.07999320225505,2.91033929673078,0.106023759241171,0.043663324677522,0.314922057151992,0.317739058559753,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Viruses","Uroviricota","Caudoviricetes","novel_order_123_of_Caudoviricetes","novel_family_25_of_novel_order_123_of_Caudoviricetes","novel_genus_6_of_novel_subfamily_0_of_novel_family_25_of_novel_order_123_of_Caudoviricetes",NA,0.857142857142857
"OTU_92",-0.157004553333497,0.324499158717672,0.138897823255199,0.321601364056444,-1.13036007083445,1.00901051732081,0.309612900745245,0.359276428016868,0.54637570719749,0.653775014020619,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Viruses","Uroviricota","Caudoviricetes","novel_order_123_of_Caudoviricetes","novel_family_2_of_novel_order_123_of_Caudoviricetes",NA,NA,0.892857142857143
"OTU_3",0.622426297920927,-0.779641741876992,0.131079454164317,0.328250503219621,4.74846574460611,-2.37514256407815,0.00208723062267519,0.0492324809911526,0.0408424126702538,0.317739058559753,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Root","Viruses","Uroviricota","Caudoviricetes","novel_order_141_of_Caudoviricetes",NA,NA,NA,1
"OTU_16",0.498102893595466,-0.555859614091163,0.299296577275434,0.461020778403888,1.66424520497298,-1.20571488342807,0.140010160223089,0.267096552213217,0.381845891517515,0.560342417230526,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Viruses","Uroviricota","Caudoviricetes","novel_order_141_of_Caudoviricetes","novel_family_0_of_novel_order_141_of_Caudoviricetes",NA,NA,1
"OTU_447",0.385470548191178,-0.353121392363445,0.192301337717324,0.450136863997584,2.00451308746384,-0.784475613100065,0.0850513247143124,0.458481335054023,0.281871651952052,0.720127751393754,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Viruses","Uroviricota","Caudoviricetes","novel_order_141_of_Caudoviricetes","novel_family_0_of_novel_order_141_of_Caudoviricetes","novel_genus_0_of_novel_subfamily_0_of_novel_family_0_of_novel_order_141_of_Caudoviricetes","IMGVR_UViG_3300006135_000009",1
"OTU_446",0.242591809343006,-0.0959396624367364,0.229192463425566,0.392574797951092,1.05846329201742,-0.24438568888645,0.324996453331195,0.813940798688074,0.563577664736176,0.914540223245027,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Viruses","Uroviricota","Caudoviricetes","novel_order_141_of_Caudoviricetes","novel_family_0_of_novel_order_141_of_Caudoviricetes","novel_genus_0_of_novel_subfamily_0_of_novel_family_0_of_novel_order_141_of_Caudoviricetes","IMGVR_UViG_3300006151_000320",1
"OTU_445",0.656015162647043,-0.840101698384002,0.210712832534717,0.427485219886006,3.11331376810645,-1.96521811586381,0.0170021145376567,0.0901240702298124,0.118619403751093,0.351132741155113,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Viruses","Uroviricota","Caudoviricetes","novel_order_141_of_Caudoviricetes","novel_family_0_of_novel_order_141_of_Caudoviricetes","novel_genus_1_of_novel_subfamily_0_of_novel_family_0_of_novel_order_141_of_Caudoviricetes","IMGVR_UViG_3300019363_000042",1
"OTU_448",0.185189464075292,0.0634247491166881,0.0924979618411866,0.328154236725999,2.00209237467579,0.193277252030868,0.139043795046466,0.85908727426601,0.381845891517515,0.936406053390644,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Viruses","Uroviricota","Caudoviricetes","novel_order_141_of_Caudoviricetes","novel_family_0_of_novel_order_141_of_Caudoviricetes","novel_genus_7_of_novel_subfamily_0_of_novel_family_0_of_novel_order_141_of_Caudoviricetes","IMGVR_UViG_3300029672_000077",0.714285714285714
