"","Duncaniella sp. B8","Muribaculum gordoncarteri","Duncaniella dubosii","Paramuribaculum intestinale","Muribaculum intestinale","Acutalibacter muris","Mucispirillum schaedleri","Bacteroides uniformis","Blautia producta","Enterocloster bolteae","[Clostridium] scindens","Bacteroides caecimuris","Duncaniella sp. C9","Blautia massiliensis (ex Durand et al. 2017)","Flavonifractor plautii","Clostridium sp. 10cd*","Mediterraneibacter gnavus","Bacteroides faecium","Ligilactobacillus murinus","uncultured Alistipes sp.","Xanthomonas euvesicatoria","Enterococcus faecalis","Eisenbergiella porci","Parabacteroides distasonis","Enterocloster clostridioformis","Clostridium sp. MD294","[Clostridium] innocuum","Faecalibaculum rodentium","Klebsiella pneumoniae","Faecalibacterium prausnitzii","Hungatella hathewayi","Simiaoa sunii","Ihubacter sp. rT4E-8","Lawsonibacter asaccharolyticus","Alistipes finegoldii","Staphylococcus aureus","Emergencia sp. JLR.KK010","Roseburia intestinalis","Alistipes onderdonkii","Halomonas sp. N3-2A","Enterocloster lavalensis","Alistipes shahii","[Clostridium] symbiosum","Blautia pseudococcoides","Oscillibacter hominis","Bacteroides xylanisolvens","Dysosmobacter welbionis","Alistipes senegalensis","Marvinbryantia formatexigens","Roseburia hominis"
"Duncaniella sp. B8",1,0.7322329540126,0.909294277141132,0.891825318799807,0.903884096737308,-0.34363629174538,-0.561283457781371,0.265728079400891,-0.759311247881881,-0.54074741542282,-0.68066406399459,0.587970954194534,0.858484874060818,-0.75473882894533,-0.0123098477818704,-0.608014366248014,-0.489840066204063,0.515824176167816,-0.00747942538506243,-0.143531237471249,-0.101267487669828,-0.586724595065578,-0.60079420421028,0.837728291035274,-0.525452338519963,-0.129253100851911,-0.3516062904781,0.184465411654727,-0.362748889419707,-0.267917539522461,-0.873462593343373,-0.563937053998923,-0.673470956443535,-0.00734682506699072,-0.105124571381163,-0.309254176869909,-0.395975157200235,-0.543928244750246,-0.156407642899468,-0.317828262198729,-0.355055912765508,-0.0824722531652759,-0.579408242147319,-0.729665729450167,0.0895963157318592,0.739238248707707,0.0180377920731058,-0.111299873398557,-0.795589326124667,-0.743993944079745
"Muribaculum gordoncarteri",0.7322329540126,1,0.745408294185888,0.729986426341143,0.755671821666891,-0.286787759643491,-0.473507473693624,0.0642925934976655,-0.571282734242903,-0.334023807013656,-0.746311574913387,0.412266893315922,0.680652809751121,-0.712903565916106,-0.0237354001471062,-0.431610110301035,-0.386072089071728,0.338110650602147,0.0836782617454862,-0.100894308859692,-0.133587324203593,-0.491026573918186,-0.516908930631928,0.678901447775806,-0.319639034230906,0.0153320198389058,-0.411391593340006,0.170625693895509,-0.360521472381232,-0.205686326813137,-0.711085242098946,-0.513493081712059,-0.605806137136169,-0.0145125834100861,0.0316497335689347,-0.282209977434289,-0.243578294540994,-0.538928967401769,-0.0793218440958507,-0.324822025659986,-0.377814414294157,0.00919681841342334,-0.295483203141225,-0.502568183874121,0.0946042684286937,0.549560089822867,0.0449994394944689,-0.0551091635947588,-0.745297911776965,-0.688168458716811
"Duncaniella dubosii",0.909294277141132,0.745408294185888,1,0.895314813379305,0.939021132411749,-0.260968230935602,-0.556407036487848,0.326335239039368,-0.668414394248684,-0.331042484484335,-0.730304688547949,0.53681048250123,0.940247873375543,-0.649556123446099,0.082496843302958,-0.4623363219462,-0.399059924637951,0.462467048720816,-0.0699070918275632,-0.158750108336037,-0.258635898832664,-0.53197962689118,-0.547689377629029,0.92534689094371,-0.448128314805271,0.0973543830426765,-0.35673560375527,0.0734168345591305,-0.447974180762782,-0.128111482372028,-0.833120781879308,-0.588713780880629,-0.696266030084214,0.0850715794542546,-0.114684985543551,-0.394692606886505,-0.370295144316277,-0.437374927971068,-0.175511613275903,-0.421117208500475,-0.275823871607982,-0.0485942229469978,-0.467538663687198,-0.637506180831911,0.191108652144443,0.728416357035603,0.129412357671065,-0.125923110661184,-0.80783539014778,-0.723660879861059
"Paramuribaculum intestinale",0.891825318799807,0.729986426341143,0.895314813379305,1,0.879821887727978,-0.496024989973921,-0.557475864139662,0.204044840769688,-0.674011515634194,-0.565165764586563,-0.777823481442683,0.598448161840333,0.762541511666112,-0.745738150378416,-0.154340605194456,-0.538965387572965,-0.482857951541159,0.519473672696647,0.138889404640898,-0.255081540039286,-0.0494400854987768,-0.643137011663399,-0.757804897549909,0.818872500944327,-0.436713010438641,-0.00218722692814667,-0.44394184405954,0.221123130317273,-0.211081912198592,-0.375436736163396,-0.897389206468967,-0.618533463085386,-0.616901408403668,-0.157500696784592,-0.198222759255866,-0.155414144842224,-0.298545408911682,-0.51620495978621,-0.274932819020411,-0.176981003937807,-0.476386679376296,-0.20351084310586,-0.311437764931239,-0.694945374459617,-0.0624894221734297,0.664307804551804,-0.13335517751786,-0.240056921634809,-0.808672962017075,-0.787417313943366
"Muribaculum intestinale",0.903884096737308,0.755671821666891,0.939021132411749,0.879821887727978,1,-0.158682104323212,-0.47711126552957,0.349951007332611,-0.794249341346219,-0.342366812219304,-0.815985820909761,0.644393803789724,0.878873079215164,-0.801589131455089,0.202019659454953,-0.577383224016225,-0.479888681662079,0.580846026152116,-0.124458125986485,-0.1065231910941,-0.311248098157061,-0.508647352109066,-0.559339888356562,0.929884906953231,-0.605578859823519,0.0874117098337377,-0.47045018372339,0.0824815763418614,-0.508631357367066,-0.0807129168618819,-0.9849644556292,-0.727199339411788,-0.734876085710328,0.204814832998201,-0.112858646204215,-0.459396177459179,-0.47720101518963,-0.549289581458826,-0.140563388586402,-0.491508045485242,-0.291132384104591,-0.0138758083657335,-0.537084243849976,-0.797339579350831,0.298382061685256,0.786444117546886,0.232189385977475,-0.0842549261492403,-0.968519156852389,-0.860709152188728
"Acutalibacter muris",-0.34363629174538,-0.286787759643491,-0.260968230935602,-0.496024989973921,-0.158682104323212,1,0.370429377092453,0.134532417959674,0.0707969542206124,0.53524377045173,0.267867298955092,-0.234803910348461,-0.127848311187285,0.16780743787422,0.903456549652931,0.230920916402777,0.334170697855443,-0.181556874725671,-0.562725937904504,0.0837236115549257,-0.327295147377568,0.558412420251418,0.673349965037233,-0.282289396335976,0.0111368319617033,0.395943121026372,0.195392901188294,-0.305492731892635,-0.261181732830988,0.795986146534771,0.0928764106116015,0.0648419897938106,0.0578798804829342,0.900992795754301,-0.0573631090766017,-0.216404015681712,-0.354674634937517,0.236504886680622,0.02881859525659,-0.279871713554225,0.454326808536117,0.0451180006745089,-0.173599790318557,0.137469782266344,0.913887945582801,-0.20199184136078,0.899843203639699,0.0898838547104789,-0.0618860779842525,0.123510270271479
"Mucispirillum schaedleri",-0.561283457781371,-0.473507473693624,-0.556407036487848,-0.557475864139662,-0.47711126552957,0.370429377092453,1,-0.143332028935138,0.291706539533704,0.392632361360948,0.129360428099095,-0.42183189150345,-0.527246155245949,0.0968265307085524,0.139933096149465,0.0343405778470429,-0.0298149852234868,-0.370841633234153,-0.0567076178995431,0.295363397278846,0.00739396989948121,0.371857677055655,0.10987786980537,-0.447032979906703,0.194103853098614,0.127742482184822,0.0572748827392923,0.169931887882705,0.243060204644638,0.160033753741834,0.161521729180507,0.0765744770855764,0.294648608976186,0.143546091793863,0.167851732629608,0.231233220105326,0.260253426874023,0.20785286531879,0.281893312727908,0.242894832598141,0.353463434894969,0.227647594722503,0.219242224198301,0.179873159361931,0.111862090260974,-0.578102069857178,0.147280320950021,0.285019445935471,0.118077600194449,0.261771377061258
"Bacteroides uniformis",0.265728079400891,0.0642925934976655,0.326335239039368,0.204044840769688,0.349951007332611,0.134532417959674,-0.143332028935138,1,-0.447920677352461,-0.229490868243773,-0.0908479645200407,0.341393669960242,0.296423808248255,-0.0622657082564291,0.239256499767767,-0.00170116314167267,0.0186869563409418,0.343762087535366,-0.41909386750835,0.037934941964233,-0.062320656056387,-0.208009303433509,-0.0767940105192414,0.379525669445881,-0.453529142926217,0.327615385609354,-0.15607163909042,-0.181773269465028,-0.209976889470561,0.105843052573505,-0.296972792124278,-0.188261459885932,-0.388312353427797,0.204346664171899,0.100348623883858,-0.166482591017761,0.0106353476278379,-0.111238170456995,0.00691291286141497,-0.165398669160752,-0.197518834149576,0.032726356012358,-0.429547869759455,-0.181072825059556,0.304852955199366,0.296314738815218,0.248779513406173,0.062088713989531,-0.275660841689456,-0.243992325337993
"Blautia producta",-0.759311247881881,-0.571282734242903,-0.668414394248684,-0.674011515634194,-0.794249341346219,0.0707969542206124,0.291706539533704,-0.447920677352462,1,0.443197449747617,0.628884346183964,-0.737949959702354,-0.552257769885876,0.76723914311283,0.0541716797797814,0.688966712120149,0.593270775918031,-0.7066236805395,0.390022092033203,-0.303936517212072,-0.0712793313361866,0.718520840391268,0.369105950297698,-0.892001869015558,0.796972417520647,0.112000142371912,0.712843111266972,-0.21068076203737,0.577870411342093,0.326291607659545,0.739088903543317,0.580458034982706,0.862423235952344,-0.048778731962242,-0.422475625370048,0.658148854217744,0.353468884900554,0.727274941705555,-0.262621858560205,0.560763024606055,0.498697561505587,-0.390740978328564,0.582210153307262,0.81220334608378,0.0739398816483262,-0.914804180508051,0.0653512189658772,-0.218795195562615,0.769528438799232,0.839826041181987
"Enterocloster bolteae",-0.54074741542282,-0.334023807013656,-0.331042484484335,-0.565165764586563,-0.342366812219304,0.53524377045173,0.392632361360948,-0.229490868243773,0.443197449747617,1,0.221804293436122,-0.410307896464348,-0.197350221382883,0.338875216467926,0.571924163873577,0.245822659587966,0.317605455400126,-0.356923450475208,-0.157388868330963,0.103004556395311,-0.377846251857016,0.709357986832519,0.48773416441435,-0.407988300501463,0.203765280943933,0.343734113044152,0.21550695324637,-0.438838445837251,0.00905685659708386,0.661281827579558,0.304809268538185,-0.0094302715118594,0.364532573119135,0.488528826655382,-0.158647199635503,0.103004563909032,-0.157128815696579,0.512657748169606,0.0904264622594753,0.00818422377707465,0.720107252882554,0.0926808016795125,-0.00509211650431982,0.313091649348708,0.586623140706703,-0.415477407279117,0.593362287426014,0.174252975496525,0.0829004189355189,0.356298618688658
