"bacteria","phage","correlation"
"Wansuia hejianensis","OTU_117",-0.983333333333333
"Pseudoflavonifractor gallinarum","OTU_354",0.983333333333333
"Mediterraneibacter gnavus","OTU_412",0.983333333333333
"Blautia wexlerae","OTU_429",0.983333333333333
"Sporofaciens musculi","OTU_493",0.983333333333333
"Sodaliphilus pleomorphus","OTU_565",0.983333333333333
"Dorea longicatena","OTU_64",0.979088068244196
"Oscillibacter sp. PEA192","OTU_4",-0.966666666666667
"Enterococcus faecalis","OTU_146",0.966666666666667
"Enterococcus faecalis","OTU_412",0.966666666666667
"Clostridium sp. M62/1","OTU_446",-0.966666666666667
"Sodaliphilus pleomorphus","OTU_447",0.966666666666667
"Mediterraneibacter gnavus","OTU_464",0.966666666666667
"Clostridium sp. M62/1","OTU_464",0.966666666666667
"[Clostridium] innocuum","OTU_465",0.966666666666667
"Faecalibacterium prausnitzii","OTU_465",0.966666666666667
"Enterocloster lavalensis","OTU_465",0.966666666666667
"[Clostridium] scindens","OTU_561",-0.966666666666667
"Claveliimonas bilis","OTU_64",0.962351520069081
"Sporofaciens musculi","OTU_289",0.962351520069081
"Enterocloster asparagiformis","OTU_124",0.957427107756338
"[Clostridium] symbiosum","OTU_404",-0.957427107756338
"Hungatella sp. SB206","OTU_468",0.957427107756338
"Mediterraneibacter glycyrrhizinilyticus","OTU_468",0.957427107756338
"Xanthomonas euvesicatoria","OTU_8",0.95
"Escherichia coli","OTU_50",0.95
"Blautia obeum","OTU_117",-0.95
"Emergencia sp. JLR.KK010","OTU_118",-0.95
"Blautia obeum","OTU_127",-0.95
"Mediterraneibacter gnavus","OTU_146",0.95
"Clostridium sp. M62/1","OTU_148",0.95
"Xanthomonas euvesicatoria","OTU_240",-0.95
"Mediterraneibacter gnavus","OTU_300",-0.95
"Ihubacter sp. rT4E-8","OTU_412",0.95
"Enterocloster bolteae","OTU_463",0.95
"Blautia producta","OTU_465",0.95
"Simiaoa sunii","OTU_465",0.95
"Dorea formicigenerans","OTU_465",0.95
"[Clostridium] scindens","OTU_545",-0.95
"Sodaliphilus pleomorphus","OTU_547",0.95
"[Clostridium] scindens","OTU_555",-0.95
"Sodaliphilus pleomorphus","OTU_562",0.95
"Roseburia faecis","OTU_564",-0.95
"Enterococcus faecium","OTU_582",0.95
"Blautia massiliensis (ex Durand et al. 2017)","OTU_355",0.945614971893967
"[Clostridium] symbiosum","OTU_352",0.940019342160768
"Kineothrix sedimenti","OTU_468",0.940019342160768
"[Clostridium] hylemonae","OTU_468",0.940019342160768
"Enterocloster bolteae","OTU_469",0.940019342160768
"Clostridium sp. M62/1","OTU_469",0.940019342160768
"Clostridium sp. MD294","OTU_478",-0.940019342160768
"Xanthomonas euvesicatoria","OTU_498",-0.940019342160768
"Hungatella sp. SB206","OTU_578",0.940019342160768
"Mediterraneibacter glycyrrhizinilyticus","OTU_578",0.940019342160768
"Bacteroides humanifaecis","OTU_1113",0.940019342160768
"Sporofaciens musculi","OTU_64",0.93724669780641
"Flavonifractor plautii","OTU_4",-0.933333333333333
"Dysosmobacter welbionis","OTU_4",-0.933333333333333
"Oscillibacter hominis","OTU_4",-0.933333333333333
"Pseudoflavonifractor gallinarum","OTU_4",-0.933333333333333
"Vescimonas coprocola","OTU_4",-0.933333333333333
"Vescimonas fastidiosa","OTU_4",-0.933333333333333
"Sporofaciens musculi","OTU_101",-0.933333333333333
"Paramuribaculum intestinale","OTU_117",0.933333333333333
"Sellimonas catena","OTU_117",-0.933333333333333
"Eisenbergiella porci","OTU_127",-0.933333333333333
"Anaerobutyricum hallii","OTU_148",0.933333333333333
"Mediterraneibacter gnavus","OTU_200",0.933333333333333
"Emergencia sp. JLR.KK010","OTU_266",0.933333333333333
"Enterocloster lavalensis","OTU_300",-0.933333333333333
"Blautia obeum","OTU_300",-0.933333333333333
"Sellimonas catena","OTU_300",-0.933333333333333
"Clostridium sp. M62/1","OTU_300",-0.933333333333333
"Acutalibacter muris","OTU_329",-0.933333333333333
"Lawsonibacter asaccharolyticus","OTU_329",-0.933333333333333
"Flintibacter sp. KGMB00164","OTU_329",-0.933333333333333
"Mucispirillum schaedleri","OTU_387",0.933333333333333
"Sporofaciens musculi","OTU_389",0.933333333333333
"Enterocloster lavalensis","OTU_412",0.933333333333333
"Clostridium sp. M62/1","OTU_412",0.933333333333333
"Blautia parvula","OTU_412",0.933333333333333
"Sodaliphilus pleomorphus","OTU_445",0.933333333333333
"Anaerotruncus colihominis","OTU_445",-0.933333333333333
"[Ruminococcus] torques","OTU_465",0.933333333333333
"Sellimonas catena","OTU_465",0.933333333333333
"Clostridium sp. MD294","OTU_477",-0.933333333333333
"Clostridium sp. MD294","OTU_490",-0.933333333333333
"Enterocloster clostridioformis","OTU_493",0.933333333333333
"Intestinimonas butyriciproducens","OTU_529",0.933333333333333
"Sodaliphilus pleomorphus","OTU_561",0.933333333333333
"Microbacterium proteolyticum","OTU_85",0.932337317478614
"Bacteroides humanifaecis","OTU_173",-0.932337317478614
"Hungatella sp. SB206","OTU_264",0.928878423718853
"Mediterraneibacter glycyrrhizinilyticus","OTU_264",0.928878423718853
"[Clostridium] symbiosum","OTU_319",0.922611576565199
"Enterocloster clostridioformis","OTU_360",0.922611576565199
"Hungatella hathewayi","OTU_468",0.922611576565199
"Marvinbryantia formatexigens","OTU_468",0.922611576565199
"Mediterraneibacter gnavus","OTU_469",0.922611576565199
"[Clostridium] innocuum","OTU_469",0.922611576565199
"Agathobacter rectalis","OTU_469",0.922611576565199
"Blautia parvula","OTU_469",0.922611576565199
"Anaerobutyricum hallii","OTU_469",0.922611576565199
"Clostridioides difficile","OTU_496",0.922611576565199
"Kineothrix sedimenti","OTU_578",0.922611576565199
"[Clostridium] hylemonae","OTU_578",0.922611576565199
"Intestinimonas butyriciproducens","OTU_452",0.920510149631295
"Intestinimonas butyriciproducens","OTU_4",-0.916666666666667
"Bacteroides humanifaecis","OTU_13",0.916666666666667
"Mediterraneibacter gnavus","OTU_117",-0.916666666666667
"[Clostridium] scindens","OTU_146",0.916666666666667
"Sellimonas catena","OTU_146",0.916666666666667
"Sellimonas intestinalis","OTU_148",0.916666666666667
"Mucispirillum schaedleri","OTU_161",-0.916666666666667
"Enterococcus faecalis","OTU_200",0.916666666666667
"Wansuia hejianensis","OTU_200",0.916666666666667
"Blautia massiliensis (ex Durand et al. 2017)","OTU_288",0.916666666666667
"Wansuia hejianensis","OTU_300",-0.916666666666667
"Acutalibacter muris","OTU_354",0.916666666666667
"Lawsonibacter asaccharolyticus","OTU_354",0.916666666666667
"Flintibacter sp. KGMB00164","OTU_354",0.916666666666667
"Oscillibacter sp. PEA192","OTU_354",0.916666666666667
"Roseburia faecis","OTU_412",0.916666666666667
"Sellimonas catena","OTU_412",0.916666666666667
"Mediterraneibacter gnavus","OTU_446",-0.916666666666667
"Ihubacter sp. rT4E-8","OTU_463",0.916666666666667
"Blautia parvula","OTU_464",0.916666666666667
"Pusillibacter faecalis","OTU_465",0.916666666666667
"Anaerobutyricum hallii","OTU_465",0.916666666666667
"Dorea longicatena","OTU_493",0.916666666666667
"Duncaniella dubosii","OTU_529",-0.916666666666667
"Vescimonas coprocola","OTU_534",0.916666666666667
"Muribaculum intestinale","OTU_545",0.916666666666667
"Parabacteroides distasonis","OTU_545",0.916666666666667
"Paramuribaculum intestinale","OTU_561",0.916666666666667
"Lactonifactor longoviformis","OTU_561",-0.916666666666667
"[Clostridium] scindens","OTU_564",-0.916666666666667
"Paramuribaculum intestinale","OTU_565",0.916666666666667
"[Ruminococcus] torques","OTU_568",-0.916666666666667
"Sellimonas catena","OTU_568",-0.916666666666667
"[Clostridium] symbiosum","OTU_104",0.915385729888094
"Bacteroides caccae","OTU_275",-0.915385729888094
"Sodaliphilus pleomorphus","OTU_275",-0.915385729888094
"Bacteroides thetaiotaomicron","OTU_275",-0.915385729888094
"Bacteroides ovatus","OTU_275",-0.915385729888094
"Acutalibacter muris","OTU_344",0.915385729888094
"Lawsonibacter asaccharolyticus","OTU_344",0.915385729888094
"Pseudoflavonifractor gallinarum","OTU_344",0.915385729888094
"Flintibacter sp. KGMB00164","OTU_344",0.915385729888094
"Emergencia sp. JLR.KK010","OTU_494",0.915385729888094
"Alistipes finegoldii","OTU_517",0.915385729888094
"Blautia producta","OTU_1064",-0.915385729888094
"Blautia massiliensis (ex Durand et al. 2017)","OTU_137",-0.912870929175277
"Kineothrix sedimenti","OTU_218",0.912870929175277
"[Clostridium] hylemonae","OTU_218",0.912870929175277
"Kineothrix sedimenti","OTU_327",0.912870929175277
"[Clostridium] hylemonae","OTU_327",0.912870929175277
"Staphylococcus aureus","OTU_491",-0.912870929175277
"Clostridioides difficile","OTU_522",0.912870929175277
"Duncaniella sp. C9","OTU_124",-0.905203810969629
"Enterocloster bolteae","OTU_627",0.905203810969629
"Clostridium sp. M62/1","OTU_627",0.905203810969629
"[Ruminococcus] torques","OTU_1076",-0.905203810969629
"Bacteroides uniformis","OTU_1113",0.905203810969629
"Kineothrix sp. MB12-C1","OTU_452",0.903773601456181
